rank,name,ticker,cik,country,exchange,marketcap,quarter,end_date,concept,value,form_type,unit
1,JPMorgan Chase,JPMorgan,19617,United States,NYSE,821106376704,2022-Q1,2022-03-31,NetIncome,8282000000,10-Q,USD
1,JPMorgan Chase,JPMorgan,19617,United States,NYSE,821106376704,2022-Q1,2022-03-31,NetIncome,8282000000,10-Q,USD
1,JPMorgan Chase,JPMorgan,19617,United States,NYSE,821106376704,2022-Q2,2022-06-30,NetIncome,16931000000,10-Q,USD
1,JPMorgan Chase,JPMorgan,19617,United States,NYSE,821106376704,2022-Q2,2022-06-30,NetIncome,16931000000,10-Q,USD
1,JPMorgan Chase,JPMorgan,19617,United States,NYSE,821106376704,2022-Q2,2022-06-30,NetIncome,8649000000,10-Q,USD
1,JPMorgan Chase,JPMorgan,19617,United States,NYSE,821106376704,2022-Q2,2022-06-30,NetIncome,8649000000,10-Q,USD
1,JPMorgan Chase,JPMorgan,19617,United States,NYSE,821106376704,2022-Q3,2022-09-30,NetIncome,26668000000,10-Q,USD
1,JPMorgan Chase,JPMorgan,19617,United States,NYSE,821106376704,2022-Q3,2022-09-30,NetIncome,26668000000,10-Q,USD
1,JPMorgan Chase,JPMorgan,19617,United States,NYSE,821106376704,2022-Q3,2022-09-30,NetIncome,9737000000,10-Q,USD
1,JPMorgan Chase,JPMorgan,19617,United States,NYSE,821106376704,2022-Q3,2022-09-30,NetIncome,9737000000,10-Q,USD
1,JPMorgan Chase,JPMorgan,19617,United States,NYSE,821106376704,2022-Q4,2022-12-31,NetIncome,37676000000,10-K,USD
1,JPMorgan Chase,JPMorgan,19617,United States,NYSE,821106376704,2022-Q4,2022-12-31,NetIncome,37676000000,10-K,USD
1,JPMorgan Chase,JPMorgan,19617,United States,NYSE,821106376704,2022-Q4,2022-12-31,NetIncome,37676000000,10-K,USD
1,JPMorgan Chase,JPMorgan,19617,United States,NYSE,821106376704,2023-Q1,2023-03-31,NetIncome,12622000000,10-Q,USD
1,JPMorgan Chase,JPMorgan,19617,United States,NYSE,821106376704,2023-Q1,2023-03-31,NetIncome,12622000000,10-Q,USD
1,JPMorgan Chase,JPMorgan,19617,United States,NYSE,821106376704,2023-Q2,2023-06-30,NetIncome,27094000000,10-Q,USD
1,JPMorgan Chase,JPMorgan,19617,United States,NYSE,821106376704,2023-Q2,2023-06-30,NetIncome,27094000000,10-Q,USD
1,JPMorgan Chase,JPMorgan,19617,United States,NYSE,821106376704,2023-Q2,2023-06-30,NetIncome,14472000000,10-Q,USD
1,JPMorgan Chase,JPMorgan,19617,United States,NYSE,821106376704,2023-Q2,2023-06-30,NetIncome,14472000000,10-Q,USD
1,JPMorgan Chase,JPMorgan,19617,United States,NYSE,821106376704,2023-Q3,2023-09-30,NetIncome,40245000000,10-Q,USD
1,JPMorgan Chase,JPMorgan,19617,United States,NYSE,821106376704,2023-Q3,2023-09-30,NetIncome,40245000000,10-Q,USD
1,JPMorgan Chase,JPMorgan,19617,United States,NYSE,821106376704,2023-Q3,2023-09-30,NetIncome,13151000000,10-Q,USD
1,JPMorgan Chase,JPMorgan,19617,United States,NYSE,821106376704,2023-Q3,2023-09-30,NetIncome,13151000000,10-Q,USD
1,JPMorgan Chase,JPMorgan,19617,United States,NYSE,821106376704,2023-Q4,2023-12-31,NetIncome,49552000000,10-K,USD
1,JPMorgan Chase,JPMorgan,19617,United States,NYSE,821106376704,2023-Q4,2023-12-31,NetIncome,49552000000,10-K,USD
1,JPMorgan Chase,JPMorgan,19617,United States,NYSE,821106376704,2024-Q1,2024-03-31,NetIncome,13419000000,10-Q,USD
1,JPMorgan Chase,JPMorgan,19617,United States,NYSE,821106376704,2024-Q1,2024-03-31,NetIncome,13419000000,10-Q,USD
1,JPMorgan Chase,JPMorgan,19617,United States,NYSE,821106376704,2024-Q2,2024-06-30,NetIncome,31568000000,10-Q,USD
1,JPMorgan Chase,JPMorgan,19617,United States,NYSE,821106376704,2024-Q2,2024-06-30,NetIncome,18149000000,10-Q,USD
1,JPMorgan Chase,JPMorgan,19617,United States,NYSE,821106376704,2024-Q3,2024-09-30,NetIncome,44466000000,10-Q,USD
1,JPMorgan Chase,JPMorgan,19617,United States,NYSE,821106376704,2024-Q3,2024-09-30,NetIncome,12898000000,10-Q,USD
1,JPMorgan Chase,JPMorgan,19617,United States,NYSE,821106376704,2024-Q4,2024-12-31,NetIncome,58471000000,10-K,USD
1,JPMorgan Chase,JPMorgan,19617,United States,NYSE,821106376704,2025-Q1,2025-03-31,NetIncome,14643000000,10-Q,USD
1,JPMorgan Chase,JPMorgan,19617,United States,NYSE,821106376704,2022-Q1,2022-03-31,TotalAssets,3954687000000,10-Q,USD
1,JPMorgan Chase,JPMorgan,19617,United States,NYSE,821106376704,2022-Q1,2022-03-31,TotalAssets,3954687000000,10-Q,USD
1,JPMorgan Chase,JPMorgan,19617,United States,NYSE,821106376704,2022-Q2,2022-06-30,TotalAssets,3841314000000,10-Q,USD
1,JPMorgan Chase,JPMorgan,19617,United States,NYSE,821106376704,2022-Q2,2022-06-30,TotalAssets,3841314000000,10-Q,USD
1,JPMorgan Chase,JPMorgan,19617,United States,NYSE,821106376704,2022-Q3,2022-09-30,TotalAssets,3773884000000,10-Q,USD
1,JPMorgan Chase,JPMorgan,19617,United States,NYSE,821106376704,2022-Q3,2022-09-30,TotalAssets,3773884000000,10-Q,USD
1,JPMorgan Chase,JPMorgan,19617,United States,NYSE,821106376704,2022-Q4,2022-12-31,TotalAssets,3665743000000,10-K,USD
1,JPMorgan Chase,JPMorgan,19617,United States,NYSE,821106376704,2022-Q4,2022-12-31,TotalAssets,3665743000000,10-Q,USD
1,JPMorgan Chase,JPMorgan,19617,United States,NYSE,821106376704,2022-Q4,2022-12-31,TotalAssets,3665743000000,10-Q,USD
1,JPMorgan Chase,JPMorgan,19617,United States,NYSE,821106376704,2022-Q4,2022-12-31,TotalAssets,3665743000000,10-Q,USD
1,JPMorgan Chase,JPMorgan,19617,United States,NYSE,821106376704,2022-Q4,2022-12-31,TotalAssets,3665743000000,10-K,USD
1,JPMorgan Chase,JPMorgan,19617,United States,NYSE,821106376704,2022-Q4,2022-12-31,TotalAssets,3665743000000,10-K,USD
1,JPMorgan Chase,JPMorgan,19617,United States,NYSE,821106376704,2023-Q1,2023-03-31,TotalAssets,3744305000000,10-Q,USD
1,JPMorgan Chase,JPMorgan,19617,United States,NYSE,821106376704,2023-Q1,2023-03-31,TotalAssets,3744305000000,10-Q,USD
1,JPMorgan Chase,JPMorgan,19617,United States,NYSE,821106376704,2023-Q2,2023-06-30,TotalAssets,3868240000000,10-Q,USD
1,JPMorgan Chase,JPMorgan,19617,United States,NYSE,821106376704,2023-Q2,2023-06-30,TotalAssets,3868240000000,10-Q,USD
1,JPMorgan Chase,JPMorgan,19617,United States,NYSE,821106376704,2023-Q3,2023-09-30,TotalAssets,3898333000000,10-Q,USD
1,JPMorgan Chase,JPMorgan,19617,United States,NYSE,821106376704,2023-Q3,2023-09-30,TotalAssets,3898333000000,10-Q,USD
1,JPMorgan Chase,JPMorgan,19617,United States,NYSE,821106376704,2023-Q4,2023-12-31,TotalAssets,3875393000000,10-K,USD
1,JPMorgan Chase,JPMorgan,19617,United States,NYSE,821106376704,2023-Q4,2023-12-31,TotalAssets,3875393000000,10-Q,USD
1,JPMorgan Chase,JPMorgan,19617,United States,NYSE,821106376704,2023-Q4,2023-12-31,TotalAssets,3875393000000,10-Q,USD
1,JPMorgan Chase,JPMorgan,19617,United States,NYSE,821106376704,2023-Q4,2023-12-31,TotalAssets,3875393000000,10-Q,USD
1,JPMorgan Chase,JPMorgan,19617,United States,NYSE,821106376704,2023-Q4,2023-12-31,TotalAssets,3875393000000,10-K,USD
1,JPMorgan Chase,JPMorgan,19617,United States,NYSE,821106376704,2024-Q1,2024-03-31,TotalAssets,4090727000000,10-Q,USD
1,JPMorgan Chase,JPMorgan,19617,United States,NYSE,821106376704,2024-Q1,2024-03-31,TotalAssets,4090727000000,10-Q,USD
1,JPMorgan Chase,JPMorgan,19617,United States,NYSE,821106376704,2024-Q2,2024-06-30,TotalAssets,4143003000000,10-Q,USD
1,JPMorgan Chase,JPMorgan,19617,United States,NYSE,821106376704,2024-Q3,2024-09-30,TotalAssets,4210048000000,10-Q,USD
1,JPMorgan Chase,JPMorgan,19617,United States,NYSE,821106376704,2024-Q4,2024-12-31,TotalAssets,4002814000000,10-K,USD
1,JPMorgan Chase,JPMorgan,19617,United States,NYSE,821106376704,2024-Q4,2024-12-31,TotalAssets,4002814000000,10-Q,USD
1,JPMorgan Chase,JPMorgan,19617,United States,NYSE,821106376704,2025-Q1,2025-03-31,TotalAssets,4357856000000,10-Q,USD
1,JPMorgan Chase,JPMorgan,19617,United States,NYSE,821106376704,2022-Q1,2022-03-31,Deposits,2561207000000,10-Q,USD
