rank,name,ticker,cik,marketcap,price_usd,country,exchange,sec_name
1,JPMorgan Chase,JPM,19617,821106376704,298.62,United States,NYSE,JPMORGAN CHASE & CO
2,Bank of America,BAC,70858,360307163136,48.45,United States,NYSE,BANK OF AMERICA CORP /DE/
3,Wells Fargo,WFC,72971,271541583872,84.32,United States,NYSE,WELLS FARGO & COMPANY/MN
4,Morgan Stanley,MS,895421,228529979392,143.01,United States,NYSE,MORGAN STANLEY
5,Goldman Sachs,GS,886982,223680937984,728.98,United States,NYSE,GOLDMAN SACHS GROUP INC
6,Citigroup,C,831001,176855252992,96.07,United States,NYSE,CITIGROUP INC
7,Charles Schwab,SCHW,316709,176355098624,97.06,United States,NYSE,SCHWAB CHARLES CORP
8,Capital One,COF,927628,136117583872,212.85,United States,NYSE,CAPITAL ONE FINANCIAL CORP
9,PNC Financial Services,PNC,713676,77240950784,196.05,United States,NYSE,"PNC FINANCIAL SERVICES GROUP, INC."
10,U.S. Bancorp,USB,36104,72167948288,46.32,United States,NYSE,US BANCORP \DE\
